FirstName,MiddleName,LastName,Suffix,Birthdate,City,Sex,Contact Number
Arvino,Cruz,Salazar,,12/04/1988,Quezon City,M,9171234567
Francisco,Mendoza,Garcia,,20/07/1991,Makati,M,9228765432
Jose,Protacio,Mercado,Jr,19/06/1985,Manila,M,9181112233
Bernardo,Delos Santos,Carpio,,01/02/1979,Pasig,M,9205556677
Ma. Leonora,Reyes,De Leon,,05/11/1993,Taguig,F,9157778899
Michael,,Reyes,III,15/01/1995,Cebu,M,9283334455
Christopher,Dizon,Ramos,,22/08/1982,Davao,M,9191212121
Roderick,Bautista,Pineda,,30/03/1990,Caloocan,M,9179876543
Alexis,Garcia,Reyes,,18/09/1998,Mandaluyong,F,9215432198
Jonathan,Reyes,Mercado,,01/12/1987,Paranaque,M,9234567890
Catherine,Salonga,Jones,,25/05/1975,Angeles,F,9161237890
Cath,S,Jones,,25/05/1975,Angeles,F,9161237890
John Lloyd,Dela Cruz,Santos,,24/06/1983,Pasay,M,9188887776
Sixto,Dantes,Reyes,III,02/08/1980,Makati,M,9156543210
Jose Mari,R,Chan,Sr,11/03/1945,Iloilo,M,9201122334
Juan,Dela Cruz,Santos,Jr,01/01/1990,Manila,M,9171234501
Maria,Clara,Gomez,,14/02/1992,Cebu,F,9182345602
Andres,Bonifacio,Castro,,30/11/1988,Quezon City,M,9193456703
Gabriela,Silang,Reyes,,19/03/1985,Vigan,F,9204567804
Emilio,Aguinaldo,Tan,,22/03/1980,Kawit,M,9215678905
Teresa,Magbanua,Lopez,,13/10/1989,Pototan,F,9226789006
Gregorio,Del Pilar,Santos,,14/11/1987,Bulacan,M,9237890107
Melchora,Aquino,Villanueva,,06/01/1982,Caloocan,F,9248901208
Apolinario,Mabini,Cruz,,23/07/1984,Tanauan,M,9259012309
Lapu-Lapu,,Mactan,,27/04/1971,Cebu,M,9260123410
Antonio,Luna,Perez,,29/10/1986,Manila,M,9271234511
Josefa,Llanes Escoda,Bautista,,20/09/1988,Dingras,F,9282345612
Vicente,Lim,Sison,,21/05/1983,Calamba,M,9293456713
Claro,Recto,Mercado,,08/02/1981,Tiaong,M,9304567814
Corazon,Aquino,Cojuangco,,25/01/1983,Paniqui,F,9315678915
Benigno,Aquino,Jr,Jr,27/11/1982,Concepcion,M,9326789016
Ferdinand,Marcos,Edralin,Sr,11/09/1967,Sarrat,M,9337890117
Imelda,Marcos,Romualdez,,02/07/1979,Manila,F,9348901218
Rodrigo,Duterte,Roa,,28/03/1995,Maasin,M,9359012319
Leni,Robredo,Gerona,,23/04/1995,Naga,F,9360123420
Manny,Pacquiao,Dapidran,,17/12/1978,Kibawe,M,9371234521
Pia,Wurtzbach,Alonzo,,24/09/1989,Cagayan de Oro,F,9382345622
Catriona,Gray,Elisa,,06/01/1994,Oas,F,9393456723
Lea,Salonga,Chien,,22/02/1971,Manila,F,9404567824
Nora,Aunor,Villamayor,,21/05/1953,Iriga,F,9415678925
Vilma,Santos,Recto,,03/11/1953,Manila,F,9426789026
Sharon,Cuneta,Pangilinan,,06/01/1966,Pasay,F,9437890127
Fernando,Poe,Jr,Jr,20/08/1989,Manila,M,9448901228
Dolphy,Quizon,Vera,,25/07/1978,Manila,M,9459012329
Apollo,Quiboloy,Carreon,,25/04/1980,Davao,M,9460123430
Eduardo,Manalo,Villanueva,,31/10/1985,Quezon City,M,9471234531
Mike,Velarde,El Shaddai,,20/08/1989,Manila,M,9482345632
Bo,Sanchez,Lighthouse,,11/07/1996,Quezon City,M,9493456733
Francis,Libiran,Tolentino,,03/10/1991,Manila,M,9504567834
Rajo,Laurel,Roxas,,19/05/1991,Manila,M,9515678935
Monique,Lhuillier,Arnault,,15/09/1991,Cebu,F,9526789036
Michael,Cinco,Sy,,27/08/1998,Dubai,M,9537890137
Oliver,Tolentino,Cruz,,20/11/1981,Bataan,M,9548901238
Kermit,Tesoro,Ramos,,01/01/1984,Manila,M,9559012339
Ezra,Santos,Santos,,06/06/1986,Manila,M,9560123440
Patty,Ang,Uy,,08/08/1988,Manila,F,9571234541
Vania,Romoff,Yap,,09/09/1989,Cebu,F,9582345642
Mark,Bumgarner,Go,,10/10/1990,USA,M,9593456743
Rosenthal,Tee,Chua,,12/12/1992,Manila,F,9604567844
Cheetah,Rivera,Lee,,13/01/1993,Manila,F,9615678945
Jot,Losa,Sy,,14/02/1994,Manila,M,9626789046
Proudrace,Lahos,Santos,,16/04/1996,Manila,M,9648901248
Renz,Pangilinan,Reyes,,17/05/1997,Manila,M,9659012349
Chris,Nick,Dela Cruz,Jr,01/01/1990,Makati,M,9171234502
Maria,Anna,Gomez,,14/02/1992,Cebu,F,9182345603
Andrew,E,Castro,,30/11/1988,Quezon City,M,9193456704
Gabby,Lopez,Reyes,,19/03/1985,Vigan,F,9204567805
Emil,M,Tan,,22/03/1980,Kawit,M,9215678906
Teresita,M,Lopez,,13/10/1989,Pototan,F,9226789007
Greg,DP,Santos,,14/11/1987,Bulacan,M,9237890108
Mel,A,Villanueva,,06/01/1982,Caloocan,F,9248901209
Apol,M,Cruz,,23/07/1984,Tanauan,M,9259012310
Lito,,Mactan,,27/04/1971,Cebu,M,9260123411
Tony,L,Perez,,29/10/1986,Manila,M,9271234512
Peping,Cojuangco,Jr,Jr,19/09/1984,Paniqui,M,9315678916
Bongbong,Marcos,Romualdez,Jr,13/09/1957,Manila,M,9337890118
Rody,Duterte,Roa,,28/03/1945,Maasin,M,9359012320
Leni,G,Robredo,,23/04/1965,Naga,F,9360123421
Manny,P,Pacquiao,,17/12/1978,Kibawe,M,9371234522
Pia,A,Wurtzbach,,24/09/1989,Cagayan de Oro,F,9382345623
Cat,E,Gray,,06/01/1994,Oas,F,9393456724
Lea,S,Chien,,22/02/1971,Manila,F,9404567825
Nora,V,Aunor,,21/05/1953,Iriga,F,9415678926
Vilma,S,Recto,,03/11/1953,Manila,F,9426789027
Sha,P,Cuneta,,06/01/1966,Pasay,F,9437890128
